internal_time;prim_grs_X;prim_grs_Y;prim_grs_Z;prim_acc_X;prim_acc_Y;prim_acc_Z;prim_tmp_1;prim_tmp_2;prim_tmp_3;sec1_grs_X;sec1_grs_Y;sec1_grs_Z;sec1_acc_X;sec1_acc_Y;sec1_acc_Z;sec1_tmp;sec2_grs_X;sec2_grs_Y;sec2_grs_Z;sec2_acc_X;sec2_acc_Y;sec2_acc_Z;sec2_tmp;sec3_grs_X;sec3_grs_Y;sec3_grs_Z;sec3_acc_X;sec3_acc_Y;sec3_acc_Z;sec3_tmp;sec_mgn_X;sec_mgn_Y;sec_mgn_Z;sID
10318.72620;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.000;0.000;0.000;39.32927;1.21951;-44.81707;-0.49023;0.71338;-0.46631;42.218;39.87805;0.79268;42.43902;0.47998;0.71045;-0.47559;41.380;41.34146;-0.30488;41.70732;0.48926;0.72070;-0.47559;41.901;-3761.000;-3761.000;-6457.000;3
10318.72640;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.000;0.000;0.000;39.32927;1.15854;-44.81707;-0.49316;0.70801;-0.47168;42.225;39.87805;0.79268;42.43902;0.47998;0.71045;-0.47559;41.380;41.34146;-0.30488;41.70732;0.48926;0.72070;-0.47559;41.901;-3761.000;-3761.000;-6457.000;1
10318.72640;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.000;0.000;0.000;39.32927;1.15854;-44.81707;-0.49316;0.70801;-0.47168;42.225;39.87805;0.85366;42.43902;0.48535;0.70459;-0.47900;41.380;41.34146;-0.30488;41.70732;0.48926;0.72070;-0.47559;41.901;-3761.000;-3761.000;-6457.000;2
10318.72720;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.000;0.000;0.000;39.32927;1.15854;-44.81707;-0.49316;0.70801;-0.47168;42.225;39.87805;0.85366;42.43902;0.48535;0.70459;-0.47900;41.380;41.34146;-0.30488;41.70732;0.49463;0.71240;-0.47949;41.901;-3761.000;-3761.000;-6457.000;3
10318.72740;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.000;0.000;0.000;39.39024;1.21951;-44.87805;-0.50049;0.69922;-0.47559;42.233;39.87805;0.85366;42.43902;0.48535;0.70459;-0.47900;41.380;41.34146;-0.30488;41.70732;0.49463;0.71240;-0.47949;41.901;-3761.000;-3761.000;-6457.000;1
10318.72740;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.000;0.000;0.000;39.39024;1.21951;-44.87805;-0.50049;0.69922;-0.47559;42.233;39.93902;0.85366;42.37805;0.49023;0.69727;-0.48486;41.365;41.34146;-0.30488;41.70732;0.49463;0.71240;-0.47949;41.901;-3761.000;-3761.000;-6457.000;2
10318.72740;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.000;0.000;0.000;39.39024;1.21951;-44.87805;-0.50049;0.69922;-0.47559;42.233;39.93902;0.85366;42.37805;0.49023;0.69727;-0.48486;41.365;41.34146;-0.30488;41.70732;0.49463;0.71240;-0.47949;41.901;-3845.000;-3845.000;-6365.000;1
10318.72820;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.000;0.000;0.000;39.39024;1.21951;-44.87805;-0.50049;0.69922;-0.47559;42.233;39.93902;0.85366;42.37805;0.49023;0.69727;-0.48486;41.365;41.34146;-0.30488;41.70732;0.50000;0.70605;-0.48682;41.908;-3845.000;-3845.000;-6365.000;3
10318.72840;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.000;0.000;0.000;39.32927;1.21951;-44.81707;-0.50635;0.69385;-0.48145;42.225;39.93902;0.85366;42.37805;0.49023;0.69727;-0.48486;41.365;41.34146;-0.30488;41.70732;0.50000;0.70605;-0.48682;41.908;-3845.000;-3845.000;-6365.000;1
10318.72840;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.000;0.000;0.000;39.32927;1.21951;-44.81707;-0.50635;0.69385;-0.48145;42.225;39.87805;0.91463;42.43902;0.49707;0.69043;-0.49072;41.357;41.34146;-0.30488;41.70732;0.50000;0.70605;-0.48682;41.908;-3845.000;-3845.000;-6365.000;2
10318.72930;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.000;0.000;0.000;39.32927;1.21951;-44.81707;-0.50635;0.69385;-0.48145;42.225;39.87805;0.91463;42.43902;0.49707;0.69043;-0.49072;41.357;41.28049;-0.30488;41.70732;0.50537;0.69922;-0.49170;41.893;-3845.000;-3845.000;-6365.000;3
10318.72940;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.000;0.000;0.000;39.32927;1.21951;-44.81707;-0.50928;0.68701;-0.48926;42.233;39.87805;0.91463;42.43902;0.49707;0.69043;-0.49072;41.357;41.28049;-0.30488;41.70732;0.50537;0.69922;-0.49170;41.893;-3845.000;-3845.000;-6365.000;1
10318.72940;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.000;0.000;0.000;39.32927;1.21951;-44.81707;-0.50928;0.68701;-0.48926;42.233;39.81707;0.85366;42.43902;0.50439;0.68408;-0.49561;41.365;41.28049;-0.30488;41.70732;0.50537;0.69922;-0.49170;41.893;-3845.000;-3845.000;-6365.000;2
10318.73030;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.000;0.000;0.000;39.32927;1.21951;-44.81707;-0.50928;0.68701;-0.48926;42.233;39.81707;0.85366;42.43902;0.50439;0.68408;-0.49561;41.365;41.28049;-0.24390;41.70732;0.51367;0.69238;-0.49707;41.893;-3845.000;-3845.000;-6365.000;3
10318.73040;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.000;0.000;0.000;39.32927;1.15854;-44.81707;-0.51611;0.67871;-0.49365;42.233;39.81707;0.85366;42.43902;0.50439;0.68408;-0.49561;41.365;41.28049;-0.24390;41.70732;0.51367;0.69238;-0.49707;41.893;-3845.000;-3845.000;-6365.000;1
10318.73030;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.000;0.000;0.000;39.32927;1.15854;-44.81707;-0.51611;0.67871;-0.49365;42.233;39.93902;0.85366;42.43902;0.50928;0.67676;-0.50049;41.365;41.28049;-0.24390;41.70732;0.51367;0.69238;-0.49707;41.893;-3845.000;-3845.000;-6365.000;2
